,precision,recall,f1-score,support
cooker,0.6021840873634945,0.8160676532769556,0.6929982046678635,473.0
cupboard,0.8379629629629629,0.7313131313131314,0.7810140237324702,495.0
tap,0.7629427792915532,0.5932203389830508,0.6674612634088201,472.0
accuracy,0.7138888888888889,0.7138888888888889,0.7138888888888889,0.7138888888888889
macro avg,0.7343632765393369,0.7135337078577125,0.713824497269718,1440.0
weighted avg,0.7359262026494532,0.7138888888888889,0.7148832006141911,1440.0
