,precision,recall,f1-score,support
cooker,0.6445916114790287,0.6173361522198731,0.630669546436285,473.0
cupboard,0.6727605118829981,0.7434343434343434,0.7063339731285988,495.0
tap,0.6181818181818182,0.576271186440678,0.5964912280701754,472.0
accuracy,0.6472222222222223,0.6472222222222223,0.6472222222222223,0.6472222222222223
macro avg,0.6451779805146151,0.6456805606982982,0.6444982492116864,1440.0
weighted avg,0.645618127634363,0.6472222222222223,0.645476299869543,1440.0
