,precision,recall,f1-score,support
cooker,0.7404580152671756,0.6152219873150105,0.6720554272517322,473.0
cupboard,0.7825242718446602,0.8141414141414142,0.7980198019801981,495.0
tap,0.6710526315789473,0.7563559322033898,0.7111553784860558,472.0
accuracy,0.7298611111111111,0.7298611111111111,0.7298611111111111,0.7298611111111111
macro avg,0.7313449728969278,0.7285731112199382,0.7270768692393288,1440.0
weighted avg,0.7321687485345444,0.7298611111111111,0.7281717761914485,1440.0
