,precision,recall,f1-score,support
cooker,0.6409335727109515,0.7547568710359408,0.6932038834951457,473.0
cupboard,0.8333333333333334,0.7272727272727273,0.7766990291262137,495.0
tap,0.6917960088691796,0.6610169491525424,0.6760563380281689,472.0
accuracy,0.7145833333333333,0.7145833333333333,0.7145833333333333,0.7145833333333333
macro avg,0.7220209716378215,0.7143488491537369,0.7153197502165094,1440.0
weighted avg,0.7237425667212034,0.7145833333333333,0.7162847554583162,1440.0
