,precision,recall,f1-score,support
cooker,0.611336032388664,0.638477801268499,0.6246122026887281,473.0
cupboard,0.6568265682656826,0.7191919191919192,0.686595949855352,495.0
tap,0.6188118811881188,0.5296610169491526,0.5707762557077626,472.0
accuracy,0.6305555555555555,0.6305555555555555,0.6305555555555555,0.6305555555555555
macro avg,0.6289914939474884,0.6291102458031902,0.6273281360839476,1440.0
weighted avg,0.6294238212028771,0.6305555555555555,0.6282728887112718,1440.0
